sentence,Predicted,Expected,Result
grrbpo is expected to be null,Value equals to null,VALUE equals to null,Fail
kiirhm is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
ojvgno cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
nkykvc canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
znnutd consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
gwdnaj can be left empty,Value equals to null,VALUE equals to null,Fail
rnauzs should contain something,Value not_equals to null,VALUE not_equals to null,Fail
qckgcw must be blank,Value equals to null,VALUE equals to null,Fail
mbyzrk cannot have any characters.,VALUE is not_equal to DATE,VALUE not_equals to null,Fail
"pzslro lies between seven thousand, one hundred and two and fifty-seven thousand, four hundred and forty-three",Value is_within(one hundred and two),"Value is_within(7102,57443)",Fail
yhqmws would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
ipbzny can be left empty,Value equals to null,VALUE equals to null,Fail
itowag shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
mgyhbm could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
"zhcqyb could be greater than 9484 ,but less than 10624","Value is_within(9484,10624)","Value is_within(9484,10624)",Pass
sagfsf may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
aidwnn equals a number under 4460 and over 74094,"Value is_within(4660,7404)","Value is_within(4460,74094)",Fail
giyfoi number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
namlei should have a lithology description.,VALUE is equal to DATE,VALUE not_equals to null,Fail
xqdgoy field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
zaytgw must be empty,Value equals to null,VALUE equals to null,Fail
vuxjcg could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
dmmfkg should have a lithology description.,dmmfkg should have a lithology description,VALUE not_equals to null,Fail
cgptsy depth must not be null,Value equals to null,VALUE not_equals to null,Fail
npaoqd number should not be null.,VALUE is not_equal to NULL,VALUE not_equals to null,Fail
dmlmnr cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
fzquej must have a null loan number,Value equals to null,VALUE equals to null,Fail
jujhfu must be an empty string.,VALUE is equal to NUMBER,VALUE equals to null,Fail
btpemn cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
xklmqm number should be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
vlyrce could not be null,Value equals to null,VALUE not_equals to null,Fail
doaaun can be equal to blank,Value equals to null,VALUE equals to null,Fail
cawmak can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
xcbrzn is not null,Value not_equals null,VALUE not_equals to null,Fail
dahbph is a null,Value equals to null,VALUE equals to null,Fail
cotqbf number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
tbwezw is more than 3477 and also tbwezw should not exceed 22091,"Value is_within(3477,22091)","Value is_within(3477,22091)",Pass
zvluvb is expected to be null,Value equals to null,VALUE equals to null,Fail
nuevvz is always NOT NULL,Value not_equals to null,VALUE not_equals to null,Fail
ugyick is not null,Value equals to null,VALUE not_equals to null,Fail
rjzvrj could not be null,Value equals to null,VALUE not_equals to null,Fail
cvrpww describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
dkkxcm shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
crxxkr field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
ucjgim is not null.,Value not_equals to null,VALUE not_equals to null,Fail
yuyjlt could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
fzquej must not be populated,Value not_equals to null,VALUE equals to null,Fail
xdgktm is equal to the value of date,Value equals to null,VALUE is equal to DATE,Fail
boqywc equals a number under 8078 and over 20729,"Value is_within(8078,20729)","Value is_within(8078,20729)",Pass
ahwzer is null,Value equals to null,VALUE equals to null,Fail
fzquej would be blank,Value equals to null,VALUE equals to null,Fail
fsbxol may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
"kuwtbd should not be greater than 60549 ,but less than 7995","Value is_within(60549,7995)","Value is_within(7995,60549)",Fail
fvnkdr can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
"ylimmo is comprised between 1111, excluded, and 77217","Value is_within(111,7217)","Value is_within(1111,77217)",Fail
sagfsf is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
tihxkf could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
lxkefh is strictly greater than 9609 and strictly lower than 55643,"Value is_within(9609,5643)","Value is_within(9609,55643)",Fail
muoony represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
zwxkxj can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
dtcfxh should be empty,Value equals to null,VALUE equals to null,Fail
kktlmy is expected to be null,Value equals to null,VALUE equals to null,Fail
tubrig should be empty,Value equals to null,VALUE equals to null,Fail
fgqlsr could be blank,Value equals to null,VALUE equals to null,Fail
vjkcht is required to be empty,Value equals to null,VALUE equals to null,Fail
"exdrrk IS LONGER THAN ninety-two AND ALSO exdrrk IS SMALL THAN forty-four thousand, eight hundred and twenty-eight","Value is_within(92,288)","Value is_within(92,44828)",Fail
bvsdph would be blank,Value equals to null,VALUE equals to null,Fail
rfdxhj can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
udxpky must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
eubxce can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ojvgno can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
uwcvdw must be blank,Value equals to null,VALUE equals to null,Fail
dujqvz is required to be empty,Value equals to null,VALUE equals to null,Fail
sirtsl can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
rrradq is equal to the value of date,Value equals to null,VALUE is equal to DATE,Fail
kgmtjj depth must be null,Value equals to null,VALUE equals to null,Fail
fwriyk can be left blank,Value equals to null,VALUE equals to null,Fail
ecuibc depth must be null,Value equals to null,VALUE equals to null,Fail
wgqpuz is a null,Value equals to null,VALUE equals to null,Fail
hdkwux isn't empty.,VALUE is not_equal to NULL,VALUE not_equals to null,Fail
ppjyyn could be less than 1728 and more than 60690,"Value is_within(1728,6069)","Value is_within(1728,60690)",Fail
lmedsg may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
btpemn can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
zwyhdx could be equal to blank,Value equals to null,VALUE equals to null,Fail
rpszsy can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
crxxkr should be null,Value equals to null,VALUE equals to null,Fail
"oporrm should not be greater than 92273 ,but less than 908","Value is_within(908,9227)","Value is_within(908,92273)",Fail
nvdbmh is expected to be not null,Value equals to null,VALUE not_equals to null,Fail
ozobao can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
ybpbmv cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
bfgtdm should not contain something,Value not_equals to null,VALUE equals to null,Fail
rrczhj could be empty,Value equals to null,VALUE equals to null,Fail
uazbji describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
oapnqm has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
bfngdt could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
gegtft could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
tyzbpr should contain the value of date,Value equals to null,VALUE is equal to DATE,Fail
uiqvgr is empty,Value equals to null,VALUE equals to null,Fail
fglnac should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
trksfp is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
yymuqb has some values.,yymuqb has some values.,VALUE not_equals to null,Fail
dbhcud is not null,Value equals to null,VALUE not_equals to null,Fail
ejktuz can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
mbyzrk is not blank,Value not_equals to null,VALUE not_equals to null,Fail
tqpupd field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
phgxnb should not have a expired indicator,Value not_equals to null,VALUE equals to null,Fail
wtthqk might be in between 1106 to 23449,"Value is_within(1106,2349)","Value is_within(1106,23449)",Fail
uwcvdw should be blank,Value equals to null,VALUE equals to null,Fail
loassa is not null.,VALUE is not_equal to null,VALUE not_equals to null,Fail
alxuly would be null,Value equals to null,VALUE equals to null,Fail
ijafwf can be equal to blank,Value equals to null,VALUE equals to null,Fail
npaoqd can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
kdkrxb shall be found somewhere between 3816 and 41575,"Value is_within(3816,4575)","Value is_within(3816,41575)",Fail
qqharf could be null.,value equals to null,VALUE equals to null,Fail
simnvt is required to be empty,Value equals to null,VALUE equals to null,Fail
uubcdi might be in between 7917 to 94212,Value is_within(7917 to94212),"Value is_within(7917,94212)",Fail
vwzabc canbe blank,Value equals to null,VALUE equals to null,Fail
ahwzer number should be null.,VALUE is equal to NULL,VALUE equals to null,Fail
xcbrzn must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
regbdp must not be blank,Value not_equals to null,VALUE not_equals to null,Fail
ugyick is not a null,Value not_equals to null,VALUE not_equals to null,Fail
omaama is not null,Value equals to null,VALUE not_equals to null,Fail
cuwpmm should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
"qdsnjl must be greater than 1237 ,but less than 43127","Value is_within(1237,43127)","Value is_within(1237,43127)",Pass
cfkqno must have a non-null loan number,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
krumex canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
"ppjyyn could be greater than 1728 ,but less than 60690","Value is_within(1728,60699)","Value is_within(1728,60690)",Fail
pqqqhe should be null,not_duplicate,VALUE equals to null,Fail
xzrlfc could be null.,Value equals to null,VALUE equals to null,Fail
yuyjlt is expected to be not null,Value not_equals null,VALUE not_equals to null,Fail
atuzpf is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
xscpjc depth must be null,Value equals to null,VALUE equals to null,Fail
jsbyca is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
bfgtdm canbe null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
rnatbk can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
dmmfkg is expected to be not null,Value equals to null,VALUE not_equals to null,Fail
rqozzk is required to be not null,Value equals to null,VALUE not_equals to null,Fail
"miufwx must be greater than 562 ,but less than 71549","Value is_within(562,7150)","Value is_within(562,71549)",Fail
uwyjvd is required to be not null,Value equals to null,VALUE not_equals to null,Fail
cwsymi is required to be not null,Value not_equals null,VALUE not_equals to null,Fail
"iqlwbs is more than 2197 ,but less than 30699","Value is_within(2197,30699)","Value is_within(2197,30699)",Pass
rmbzss is expected to be null,Value equals to null,VALUE equals to null,Fail
dqfdyt represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
zglgtn isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
ucjgim cannot be null,Value equals to null,VALUE not_equals to null,Fail
"qmgpvx exceeds 6482,but does not exceeds 70614","Value is_within(6482,7014)","Value is_within(6482,70614)",Fail
ybpbmv must have a non-null loan number,Value not_equals to null,VALUE not_equals to null,Fail
"mgbsoi lies between four thousand, nine hundred and thirty-one and ninety-eight thousand, seven hundred and thirty-seven","Value is_within(4 000,930 and31)","Value is_within(4931,98737)",Fail
fmnzzm should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
emsxoi is always NOT NULL,Value not_equals to null,VALUE not_equals to null,Fail
qppqeo canbe null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
tjfwzy must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
hssrcb should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
tlswyk can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
"gysibh must be greater than 1145 ,but less than 87178","Value is_within(1145,87178)","Value is_within(1145,87178)",Pass
jtfwvy would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
ipswjz canbe null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
itowag consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
uwyjvd should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
wbxnhz is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
lcnjhc can be a empty,Value equals to null,VALUE equals to null,Fail
suijak is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
fignuf cannot be null,Value equals to null,VALUE equals to null,Fail
immlmq must have a non-null loan number,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
mtkktz can be a null,Value equals to null,VALUE equals to null,Fail
ngaqiy is strictly greater than 6515 and strictly lower than 70118,"Value is_within(6515,70118)","Value is_within(6515,70118)",Pass
qohzma shall be found somewhere between 1120 and 94111,"Value is_within(1120,94111)","Value is_within(1120,94111)",Pass
puudcc can be left empty,Value equals to null,VALUE equals to null,Fail
"izhpyk must be greater than 6597,but less than  16164","Value is_within(6597,1644)","Value is_within(6597,16164)",Fail
tltmcj is strictly greater than 5849 and strictly lower than 86690,"Value is_within(5849,86690)","Value is_within(5849,86690)",Pass
Lets say nuevvz cannot have null values,Value not_equals to null,VALUE not_equals to null,Fail
vyqbxm can be left blank,Value equals to null,VALUE equals to null,Fail
kumhus field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
tqmmju should be blank,Value equals to null,VALUE equals to null,Fail
lrcdvz must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
jfqzrs must be in between 4360 to 27163,Value is_within(4360 to 27163),"Value is_within(4360,27163)",Fail
ingvkb must be an empty string.,VALUE is equal to NUMBER,VALUE equals to null,Fail
aibnvi number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
uwwlwa is required to be null,Value equals to null,VALUE equals to null,Fail
"iqlwbs IS LONGER THAN two thousand, one hundred and ninety-seven AND ALSO iqlwbs IS SMALL THAN thirty thousand, six hundred and ninety-nine","Value is_within(two thousand, one hundred and ninety-seven)","Value is_within(2197,30699)",Fail
kitidm must not be populated,Value not_equals to null,VALUE equals to null,Fail
"yweodz represents a specific day, month and year.",VALUE is equal to DATE,VALUE is equal to DATE,Pass
ouryod must be populated,Value equals to null,VALUE not_equals to null,Fail
xcbrzn should contain something,Value not_equals to null,VALUE not_equals to null,Fail
ibrzch isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
btpemn is not a null,Value not_equals to null,VALUE not_equals to null,Fail
krumex canbe null.,VALUE is equal to NULL,VALUE equals to null,Fail
qjbzla would be blank,Value equals to null,VALUE equals to null,Fail
tpteaz can be a empty,Value equals to null,VALUE equals to null,Fail
nphufv could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
xcbrzn must have a non-null loan number,xcbrzn must have a non-null loan number,VALUE not_equals to null,Fail
qjgfnz is more than 9159 and also qjgfnz should not exceed 66378,"Value is_within(9159,6378)","Value is_within(9159,66378)",Fail
ljrhjb must be an empty string.,VALUE is equal to NUMBER,VALUE equals to null,Fail
tuorph is null.,VALUE is equal to NULL,VALUE equals to null,Fail
itnowo could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
ymqqvy describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
xszyxg can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
xrfotv could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
wwlehm is blank,Value equals to null,VALUE equals to null,Fail
Lets say erhnsu cannot have null values,Value not_equals to null,VALUE not_equals to null,Fail
dbwhlf can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
wpsebn cannot be null,Value equals to null,VALUE equals to null,Fail
"uujyvm could be greater than 1399 ,but less than 58942","Value is_within(1399,5894)","Value is_within(1399,58942)",Fail
epzzyj should contain the value of date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
alxuly can be equal to empty,Value equals to null,VALUE equals to null,Fail
"llkjgp must be greater than 2974,but less than  31344","Value is_within(2974,3144)","Value is_within(2974,31344)",Fail
ziluzb depth must not be null,Value not_equals to null,VALUE not_equals to null,Fail
trbnpf should not contain something,Value not_equals to null,VALUE equals to null,Fail
dyszjk is not null.,Value not_equals to null,VALUE not_equals to null,Fail
qbbcsq can be equal to null,Value equals to null,VALUE equals to null,Fail
bxboto must be blank,Value equals to null,VALUE equals to null,Fail
yixxpv equals a number under 7994 and over 61625,"Value is_within(7994,6125)","Value is_within(7994,61625)",Fail
flmrex might be in between 8807 to 21039,Value is_within(8807 to21039),"Value is_within(8807,21039)",Fail
wicrph would be null,Value equals to null,VALUE equals to null,Fail
xyznpz can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
fcfzju isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
odqycp is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
qynqlz must be in between 6712 to 41970,Value is_within(6712 to 41970),"Value is_within(6712,41970)",Fail
vavjms could be equal to blank,Value equals to null,VALUE equals to null,Fail
vsfmbn must be populated,Value not_equals to null,VALUE not_equals to null,Fail
kdkrxb is more than 3816 and also kdkrxb should not exceed 41575,"Value is_within(3816,4575)","Value is_within(3816,41575)",Fail
zbbila could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
hssrcb can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
lscmqj can be left empty,Value equals to null,VALUE equals to null,Fail
ssbcaq is required to be not null,Value equals to null,VALUE not_equals to null,Fail
lcvxqv canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
"jqowkx lies between eight thousand, five hundred and forty-five and fifty-four thousand, four hundred and seventy-four","Value is_within(8 thousand,455)","Value is_within(8545,54474)",Fail
cspogb is blank,Value equals to null,VALUE equals to null,Fail
szjvxk could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
fcczjk can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
uwwlwa is a null,Value equals to null,VALUE equals to null,Fail
Lets say vwzabc have null values,Value equals to null,VALUE equals to null,Fail
trbnpf can be equal to empty,Value equals to null,VALUE equals to null,Fail
yraqos can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
wcuiyy could not be null,Value equals to null,VALUE not_equals to null,Fail
xklmqm is expected to be null,Value equals to null,VALUE equals to null,Fail
"jqowkx exceeds 8545,but does not exceeds 54474","Value is_within(8545,5474)","Value is_within(8545,54474)",Fail
ubqpbc can be in range 6100 to 64604,Value is_within(6100 to 64604),"Value is_within(6100,64604)",Fail
szohnf could be null.,Value equals to null,VALUE equals to null,Fail
tcqoeu would be empty,Value equals to null,VALUE equals to null,Fail
tdcxan would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
"fhltku lies between one thousand, eight hundred and sixty-five and ten thousand, seven hundred and ninety","Value is_within(one thousand, eight hundred and sixty-five)","Value is_within(1865,10790)",Fail
ltcezw might be in between 3618 to 89265,Value is_within(3618-89265),"Value is_within(3618,89265)",Fail
exumkt number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
"uppafp must be greater than 4700,but less than  8973","Value is_within(4700,8973)","Value is_within(4700,8973)",Pass
xzrlfc is blank,Value equals to null,VALUE equals to null,Fail
aaifff is expected to be not null,Value equals to null,VALUE not_equals to null,Fail
omxvbk would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
"nsxaty lies between four thousand, six hundred and sixty-five and sixty-three thousand, eight hundred and sixty-three","Value is_within(4 000,675)","Value is_within(4665,63863)",Fail
tmkhml shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
rztmmc is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
fzquej is blank,Value equals to null,VALUE equals to null,Fail
uhizre can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
cawmak should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
fmnzzm mustn't be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
ppjyyn equals a number under 1728 and over 60690,"Value is_within(1728,6069)","Value is_within(1728,60690)",Fail
zlskai can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
bfqtzd could be empty,Value equals to null,VALUE equals to null,Fail
rjzvrj mustn't be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
maizsi consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
bcgrfy must be blank,Value equals to null,VALUE equals to null,Fail
wmcdxr could be equal to blank,Value equals to null,VALUE equals to null,Fail
rtnbxx must be empty,Value equals to null,VALUE equals to null,Fail
bclenq is not empty,Value not_equals to null,VALUE not_equals to null,Fail
wvzwdz is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
ixmehr mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
bftlgn can be equal to empty,Value equals to null,VALUE equals to null,Fail
cegjec is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
fqanqw could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
jtfwvy depth must not be null,Value equals to null,VALUE not_equals to null,Fail
bfqtzd must not be populated,Value not_equals to null,VALUE equals to null,Fail
vvtcts must not be null,Value equals to null,VALUE not_equals to null,Fail
yzxfmo is of value date,Value equals to null,VALUE is equal to DATE,Fail
bclenq would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
wbyffn can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
tcerft can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
wvzwdz should not be null,Value not_equals null,VALUE not_equals to null,Fail
lcnjhc should be null,Value equals to null,VALUE equals to null,Fail
zfwmnt mustn't be null,Value equals to null,VALUE not_equals to null,Fail
pbdden must be empty,Value equals to null,VALUE equals to null,Fail
dmmfkg cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
isrugh cannot be null,Value not_equals to null,VALUE equals to null,Fail
bgjjgm may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
xyscxz might be in between 4709 to 50188,Value is_within(4709-50188),"Value is_within(4709,50188)",Fail
cecujz would be blank,Value equals to null,VALUE equals to null,Fail
jpkatl could be less than 7352 and more than 77573,"Value is_within(7352,7573)","Value is_within(7352,77573)",Fail
umwbkf has not some values.,Value not_equals to null,VALUE equals to null,Fail
lcnjhc canbe empty,Value equals to null,VALUE equals to null,Fail
dkxjjd could be null.,Value equals to null,VALUE equals to null,Fail
ixmehr would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
ngwbrk depth must not be null,Value equals to null,VALUE not_equals to null,Fail
uesrus equals a number under 6573 and over 66467,"Value is_within(6573,6467)","Value is_within(6573,66467)",Fail
vyqbxm canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
dfzudk must be an empty string.,VALUE is equal to NUMBER,VALUE equals to null,Fail
jwaeqj mustn't be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
cravon can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
erhnsu is not null,Value equals to null,VALUE not_equals to null,Fail
ijqwty is a null,Value equals to null,VALUE equals to null,Fail
uqkihm could not be null,Value equals to null,VALUE not_equals to null,Fail
efuitf equals a number under 2909 and over 19282,"Value is_within(2909, 19282)","Value is_within(2909,19282)",Fail
psygho could be blank,Value equals to null,VALUE equals to null,Fail
gzrpmw has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
ghdbvp represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
nyyjpo must not be blank,Value not_equals to null,VALUE not_equals to null,Fail
ewxezb can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
vnasyi cannot be null,Value not_equals to null,VALUE equals to null,Fail
"gddwvd represents a specific day, month and year.",VALUE is equal to DATE,VALUE is equal to DATE,Pass
"uesrus is more than 6573 ,but less than 66467","Value is_within(6573,6467)","Value is_within(6573,66467)",Fail
eiphzb number should be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
dxlywc can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
rmbzss could be empty,Value equals to null,VALUE equals to null,Fail
hssrcb must be populated,Value equals to null,VALUE not_equals to null,Fail
cusbzf is always NULL,Value equals to null,VALUE equals to null,Fail
birmqk must have a null loan number,Value equals to null,VALUE equals to null,Fail
qmggfy could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
rhhvxu could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
wjsnej can not have any characters.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
rnatbk cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
tcerft must have a non-null loan number,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
ycxutq might be in between 6273 to 19670,Value is_within(6273 to 19670),"Value is_within(6273,19670)",Fail
gxjgkw must be populated,Value equals to null,VALUE not_equals to null,Fail
ylogir should contain something,Value not_equals to null,VALUE not_equals to null,Fail
yuyjlt would not be null,Value equals to null,VALUE not_equals to null,Fail
ujmcfp canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
mvpfgk field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
"rpcewk IS LONGER THAN four thousand, seven hundred and seventy-eight AND ALSO rpcewk IS SMALL THAN seventy-seven thousand, three hundred and sixty-one","Value is_within(four thousand, seven hundred and seventies)","Value is_within(4778,77361)",Fail
ingvkb can be a null,Value equals to null,VALUE equals to null,Fail
ijqwty would be blank,Value equals to null,VALUE equals to null,Fail
szjvxk is not blank,Value not_equals to null,VALUE not_equals to null,Fail
uvlhhd would be null,Value equals to null,VALUE equals to null,Fail
psygho field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
qivpgv would be blank,Value equals to null,VALUE equals to null,Fail
"jwsljf lies between nine thousand, three hundred and eighty-one and fifty-nine thousand, three hundred and ninety-eight","Value is_within(90,811)","Value is_within(9381,59398)",Fail
"qohzma IS LONGER THAN one thousand, one hundred and twenty AND ALSO qohzma IS SMALL THAN ninety-four thousand, one hundred and eleven","Value is_within(one thousand, one hundred and twenty)","Value is_within(1120,94111)",Fail
dbwhlf depth must not be null,Value equals to null,VALUE not_equals to null,Fail
wcgpmx should not be null,Value equals to null,VALUE not_equals to null,Fail
gbsptf can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
ezrgnx is required to be empty,Value equals to null,VALUE equals to null,Fail
vmrdvr is a null,Value equals to null,VALUE equals to null,Fail
oapnqm isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
vrqofk shall be found somewhere between 2873 and 81354,Value is_within(2873-81354),"Value is_within(2873,81354)",Fail
ztcjjo is not null,Value not_equals to null,VALUE not_equals to null,Fail
"svxdmu represents a specific day, month and year.",VALUE is equal to DATE,VALUE is equal to DATE,Pass
cvrpww can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
wpsebn should be null,Value equals to null,VALUE equals to null,Fail
cllyfz cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
vimmwe must be empty,Value equals to null,VALUE equals to null,Fail
pgbtsz is equal to the value of date,Value equals to null,VALUE is equal to DATE,Fail
jcxily is of value date,Value equals to null,VALUE is equal to DATE,Fail
omxvbk field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
nthdow canbe blank,Value equals to null,VALUE equals to null,Fail
mcdsve should contain the value of date,Value equals to null,VALUE is equal to DATE,Fail
"ycxutq is more than 6273 ,but less than 19670","Value is_within(6273,6770)","Value is_within(6273,19670)",Fail
uiqvgr must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
oapnqm can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
kodygj is null.,Value equals to null,VALUE equals to null,Fail
rnauzs is not null,Value not_equals null,VALUE not_equals to null,Fail
uwcvdw should not contain something,Value not_equals to null,VALUE equals to null,Fail
yrudkd could be blank,Value equals to null,VALUE equals to null,Fail
rmbzss can be left empty,Value equals to null,VALUE equals to null,Fail
xznjoe field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
